Date,Amount,Category,Description
2025-05-01,54.23,Groceries,Walmart weekly groceries
2025-05-01,120.00,Rent,May apartment rent (partial)
2025-05-02,9.50,Transportation,Uber to campus
2025-05-03,300.00,Utilities,Electricity and internet bill
2025-05-04,17.89,Entertainment,Netflix and Spotify
2025-05-05,5.75,Coffee,Latte at local cafe
2025-05-06,900.00,Rent,Full rent payment
2025-05-07,11.99,Groceries,Snacks and drinks from Target
2025-05-08,250.00,Shopping,New shoes and clothes
2025-05-09,6.50,Coffee,Espresso from on-campus cafe
2025-05-10,20.00,Transportation,Gas refill
2025-05-11,1800.00,Tuition,University tuition installment
2025-05-12,1.00,Coffee,Coffee sample offer
2025-05-13,7.99,Entertainment,Hulu subscription
2025-05-14,14.50,Groceries,Fruits and veggies
2025-05-15,400.00,Shopping,New phone
2025-05-16,18.00,Transportation,Taxi after event
